Country,code,fuel,volatility,cv,big_jumps_pct,mean_price,n_months,group,region
Lithuania,LTU,Gasoline,0.03658062160917573,0.14323037484848292,0.018018018018018018,1.4462576229442945,112,Deregulated,ECA
Luxembourg,LUX,Gasoline,0.0419937535035526,0.14457696949391455,0.036036036036036036,1.4711562086714278,112,Regulated,ECA
Malawi,MWI,Gasoline,0.05794711749675059,0.193737217202196,0.10112359550561797,1.3340891546443632,90,Regulated,SSA
Malaysia,MYS,Gasoline,2.6889967024910577,1.4671205586793539,0.06306306306306306,0.5461218590132068,112,Regulated,EAP
Maldives,MDV,Gasoline,0.04213504598336982,0.23256511084851497,0.06306306306306306,0.7391249180959353,112,,
Malta,MLT,Gasoline,0.01652232192031601,0.051232239172612236,0.0,1.4955169371889259,112,,
Martinique,nan,Gasoline,0.04353046836965367,0.12224234524717828,0.02702702702702703,1.7322819797494209,112,,
Mexico,MEX,Gasoline,0.043806223121002935,0.1616111929765816,0.030927835051546393,1.1486917798421508,98,Deregulated,LAC
Mongolia,MNG,Gasoline,0.05096447682471592,0.18859972441059492,0.02702702702702703,0.9091294690327931,112,Other,EAP
Myanmar,MMR,Gasoline,0.33383173456579307,0.23801201494830493,0.140625,0.5527971252269939,65,Regulated,EAP
Namibia,NAM,Gasoline,0.05410360330187527,0.1792319039902097,0.0707070707070707,0.9668057055421808,100,Regulated,SSA
Netherlands,NLD,Gasoline,0.03467445989004285,0.11058858059010081,0.018018018018018018,1.9416999629748832,112,Deregulated,ECA
New Zealand,NZL,Gasoline,0.03984629809107534,0.12359296816791175,0.02702702702702703,1.634086378338796,112,Deregulated,EAP
Nigeria,NGA,Gasoline,0.1708777455638111,0.30146823918000676,0.21296296296296297,0.4791156275911904,109,Deregulated,SSA
North Macedonia,MKD,Gasoline,0.05733093300693695,0.12009156502437268,0.0660377358490566,1.2984367053968657,107,Regulated,ECA
Norway,NOR,Gasoline,0.04719409387630228,0.125954366015659,0.07272727272727272,1.8835061057644535,111,Deregulated,ECA
Oman,OMN,Gasoline,0.05694435157938542,0.10518165067568779,0.0707070707070707,0.5658925296673266,100,Regulated,MENA
Pakistan,PAK,Gasoline,0.06541974348910716,0.1860850766098236,0.0990990990990991,0.7800209049561334,112,Regulated,SA
Panama,PAN,Gasoline,0.07442835074427147,0.20189440574964457,0.13402061855670103,0.8934967687074831,98,Regulated,LAC
Papua New Guinea,PNG,Gasoline,0.06858629982281032,0.13070654797635237,0.11363636363636363,1.0521844519179497,89,Regulated,EAP
Peru,PER,Gasoline,0.05998965497782533,0.23898581425626866,0.0990990990990991,0.9696678448383472,112,Deregulated,LAC
Philippines,PHL,Gasoline,0.048207605356489935,0.13336129349022802,0.061224489795918366,1.0786547975797847,99,Deregulated,EAP
Poland,POL,Gasoline,0.043102137551831406,0.13637213542984766,0.05405405405405406,1.357792329326353,112,Deregulated,ECA
Portugal,PRT,Gasoline,0.0359589765824267,0.09699463022795636,0.018018018018018018,1.7578413173940264,112,Deregulated,ECA
Qatar,QAT,Gasoline,0.05359118142767194,0.1768777537178898,0.09259259259259259,0.4949527519383776,109,Regulated,MENA
Romania,ROU,Gasoline,0.036624795235695826,0.13351355335269638,0.009009009009009009,1.3606664505381627,112,Deregulated,ECA
Russian Federation,RUS,Gasoline,0.06868514793426295,0.12103154556378497,0.08108108108108109,0.6732500698580157,112,Other,ECA
Russian Federation,RUS,Gasoline,0.07763787635527093,0.11350905504392914,0.1038961038961039,0.8059759490971324,78,Other,ECA
Saudi Arabia,SAU,Gasoline,0.14642154573604887,0.31376180005512994,0.08108108108108109,0.49492471911021296,112,Regulated,MENA
Senegal,SEN,Gasoline,0.027760881551112997,0.12088772949064067,0.027777777777777776,1.3588255344727191,109,Regulated,SSA
Serbia,SRB,Gasoline,0.024929683642185712,0.11317691893623352,0.0,1.491158101634392,108,Regulated,ECA
